instance_id	lang	target_ref	gold_reward	agent_reward	status	gold_verifier_rc	agent_verifier_rc	gold_verifier_seconds	agent_verifier_seconds	wall_seconds
actionlint-action-pinning-lint	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79dnvkvq8j9bs22ededmsc79823akj	1	0	unsolved_valid	0	0	8.3	5.0	22.3
aiomonitor-task-snapshots-diff	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh75rc2q0zhmsqwk7wewfwwtrx830v2n	1	0	unsolved_valid	0	0	7.6	5.2	27.1
abs-module-cache-flags	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh75679ajj3b8dtd7se3h7z0a1833y6r	1	0	unsolved_valid	0	0	10.8	10.2	31.0
abs-stepped-slices	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7d5m4ed35zfp7gyhx7wdahed82yw72	1	0	unsolved_valid	0	0	11.0	11.2	32.5
anko-default-function-arguments	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7fj3hc92zehtc8azrm32xzb182w9dr	1	0	unsolved_valid	0	0	11.2	12.1	34.4
anko-typed-variable-bindings	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79betfed7ets4an20cr4j57182y9wt	1	0	unsolved_valid	0	0	8.6	8.1	25.1
adaptix-name-mapping-aliases	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh73dq4n55jdxasppe6jjmth4183d47n	1	0	unsolved_valid	0	0	29.0	15.4	56.2
awilix-async-container-initialization	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh70bg8gy4xks4eyh1s71ecmk9822p9c	1	None	unsolved_valid	0	None	22.2	None	52.8
bandit-structured-nosec-directives	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh757d8ggvnfaszv8zcav3msy982ma7f	1	0	unsolved_valid	0	0	10.6	6.9	30.4
cattrs-partial-structuring-recovery	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7f7cahc5ddm1qzpxz13kpmrh8235pc	1	0	unsolved_valid	0	0	2.3	2.0	10.5
bandit-incremental-cache-control	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7drfg2vkvdvfh9xx0nfd5pz9821xr7	1	0	unsolved_valid	0	0	51.3	40.1	122.2
arcane-drift-detection-baselines	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh70nj38qyatmsmj1d5zh57j25820vrx	1	0	unsolved_valid	0	0	76.1	44.8	156.9
claude-code-by-agents-recursive-delegation	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh734ehfw2s3bztf7pzc9xf3x18212bs	1	0	unsolved_valid	0	0	12.4	5.8	34.2
arktype-json-schema-refs-dependencies	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh771gpr8crkjsnt9pj81bafgs8229em	1	0	unsolved_valid	0	0	70.0	65.8	164.9
boa-hierarchical-evaluation-cancellation	rust	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh71kat2v58yys3pnyybkgycax832vj2	1	0	unsolved_valid	0	0	74.6	25.4	113.0
csstree-shorthand-expansion-compression	javascript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72qraccnjwdet6ynagsccr4x82y65c	1	None	unsolved_valid	0	None	1.6	None	7.8
