task_id	is_resolved	failure_mode	parser_results	n_input_tok	n_output_tok	agent_dur_s	test_dur_s	n_episodes	recording_path
build-pmars	RESOLVED	unset	test_pmars_works=passed;test_headless_no_x11=passed;test_debian_source_used=passed;test_built_from_source=passed	150203	3384	81.2	0.7	25	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/build-pmars/build-pmars.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
build-pov-ray	RESOLVED	unset	test_illum1_render_and_verify=passed;test_povray_version=passed;test_povray_built_from_correct_source=passed	513768	6847	153.2	10.9	49	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/build-pov-ray/build-pov-ray.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
cancel-async-tasks	RESOLVED	unset	test_run_py_file_exists=passed;test_tasks_run_concurrently=passed;test_tasks_obey_max_concurrent=passed;test_tasks_cancel_below_max_concurrent=passed;test_tasks_cancel_at_max_concurrent=passed;test_tasks_cancel_above_max_concurrent=passed	16680	1300	25.4	14.5	9	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/cancel-async-tasks/cancel-async-tasks.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
extract-elf	RESOLVED	unset	test_extract_js_exists=passed;test_output_matches_reference=passed	199048	4832	96.6	0.6	24	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/extract-elf/extract-elf.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
git-leak-recovery	RESOLVED	unset	test_flag_file_exists_and_correct=passed;test_no_secrets_in_commits=passed;test_good_commits_preserved=passed;test_no_secrets_in_unreachable_objects=passed;test_repository_contents_checksum=passed	58442	2584	71.4	0.6	19	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/git-leak-recovery/git-leak-recovery.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
modernize-scientific-stack	RESOLVED	unset	test_modernized_code_runs=passed;test_dependency_file_exists=passed	76709	2984	61.7	1.0	19	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/modernize-scientific-stack/modernize-scientific-stack.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
polyglot-rust-c	RESOLVED	unset	test_fibonacci_polyglot=passed	354170	8479	185.3	2.8	40	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/polyglot-rust-c/polyglot-rust-c.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
portfolio-optimization	RESOLVED	context_length_exceeded	test_c_extension_exists=passed;test_baseline_functionality=passed;test_correctness_small=passed;test_performance_and_scalability[5000]=passed;test_performance_and_scalability[6000]=passed;test_performance_and_scalability[8000]=passed	None	None	4891.1	87.7	794	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/portfolio-optimization/portfolio-optimization.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
prove-plus-comm	RESOLVED	unset	test_proof_file_exists=passed;test_compiled_proof_exists=passed;test_proof_contents=passed;test_compiled_proof_content=passed	79818	3503	68.9	0.7	24	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/prove-plus-comm/prove-plus-comm.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
pypi-server	RESOLVED	unset	test_api=passed	193139	5112	105.6	1.3	35	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/pypi-server/pypi-server.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_coder_t2_c32_0711211754_attempt1_medium_c32/sessions/agent.cast
