task_id	is_resolved	native_is_resolved	failure_mode	parser_results	n_input_tok	n_output_tok	agent_dur_s	test_dur_s	n_episodes	recording_path
adaptive-rejection-sampler	UNRESOLVED	False	agent_timeout	test_ars_function_exists=passed;test_has_test_function=passed;test_formal_testing_with_known_truth=passed;test_implementation_is_modular=passed;test_implementation_handles_errors=passed;test_input_validation_functionality=passed;test_log_concavity_functionality=passed;test_can_generate_standard_distribution_samples=failed;test_sample_files_generated=failed	0	0	7500.2	1.5	35	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/adaptive-rejection-sampler/adaptive-rejection-sampler.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
bn-fit-modify	UNRESOLVED	False	unset	test_learned_dag_structure_exists=passed;test_learned_dag_structure_csv_col_names=passed;test_intervened_dag_structure_exists=passed;test_intervened_dag_structure_csv_col_names=passed;test_bn_sample_exists=failed;test_learned_dag_structure=failed;test_intervened__data_structure=failed;test_sampled_csv_col_names=failed;test_sampled_data=failed	53482	4705	882.0	1.4	8	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/bn-fit-modify/bn-fit-modify.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
break-filter-js-from-html	UNRESOLVED	False	agent_timeout	test_out_html_bypasses_filter=failed	0	0	7500.2	6.3	149	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/break-filter-js-from-html/break-filter-js-from-html.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
build-cython-ext	UNRESOLVED	False	unset	test_numpy_version=passed;test_repo_cloned=passed;test_pyknotid_core_import=failed;test_chelpers_cython_extension=failed;test_ccomplexity_cython_extension=failed;test_cinvariants_cython_extension=failed;test_chelpers=failed;test_ccomplexity=failed;test_cinvariants_python_vs_cython=failed;test_example_usage=failed;test_pyknotid_repository_tests=failed	90924	5135	1645.0	2.7	12	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/build-cython-ext/build-cython-ext.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
build-pmars	UNRESOLVED	False	agent_timeout	test_debian_source_used=passed;test_built_from_source=passed;test_pmars_works=failed;test_headless_no_x11=failed	0	0	7500.1	0.4	87	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/build-pmars/build-pmars.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
build-pov-ray	UNRESOLVED	False	unset	test_illum1_render_and_verify=failed;test_povray_version=failed;test_povray_built_from_correct_source=failed	32808	3145	147.9	1.5	8	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/build-pov-ray/build-pov-ray.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
caffe-cifar-10	UNRESOLVED	False	agent_timeout	test_prototxt_files_exist=passed;test_caffe_version_and_source=failed;test_cifar10_model_exists=failed;test_cpu_only_training_configured=failed;test_training_completed_500_iterations=failed;test_model_accuracy_verification=failed	0	0	7500.1	0.5	35	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/caffe-cifar-10/caffe-cifar-10.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
cancel-async-tasks	UNRESOLVED	False	unset	test_run_py_file_exists=passed;test_tasks_run_concurrently=passed;test_tasks_obey_max_concurrent=passed;test_tasks_cancel_below_max_concurrent=passed;test_tasks_cancel_at_max_concurrent=passed;test_tasks_cancel_above_max_concurrent=failed	2575	633	16.7	13.3	2	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/cancel-async-tasks/cancel-async-tasks.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
chess-best-move	UNRESOLVED	False	unset	test_move_correct=failed	1909	484	5.6	0.5	2	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/chess-best-move/chess-best-move.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
circuit-fibsqrt	UNRESOLVED	False	agent_timeout	test_gates_file_exists=passed;test_gates_file_size=passed;test_sqrt_fib=failed	0	0	7500.2	0.6	1	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/circuit-fibsqrt/circuit-fibsqrt.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
cobol-modernization	UNRESOLVED	False	agent_timeout	test_required_files_exist=passed;test_data_files_exist=passed;test_program_output=failed	0	0	7500.3	0.7	67	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/cobol-modernization/cobol-modernization.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
code-from-image	UNRESOLVED	False	unset	test_output_file_exists=passed;test_output_is_correct=failed	12300	2102	44.7	0.4	6	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/code-from-image/code-from-image.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
compile-compcert	UNRESOLVED	False	agent_timeout	test_compcert_exists_and_executable=failed;test_compcert_valid_and_functional=failed;test_compcert_rejects_unsupported_feature=failed	0	0	7500.3	0.9	574	tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/compile-compcert/compile-compcert.1-of-1.tb21_full89_batched_batch_01_of_01_terminus-2_c32_tb21_inst2507_t2_c32_0712170859_attempt1_medium_c32/sessions/agent.cast
