instance_id	lang	target_ref	gold_reward_raw	gold_reward_corrected	agent_reward	agent_patch_empty	agent_patch_applied	status	gold_verifier_rc	agent_verifier_rc
anko-default-function-arguments	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7fj3hc92zehtc8azrm32xzb182w9dr	1	1	None	True	False	unsolved_valid	0	None
aiomonitor-task-snapshots-diff	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh75rc2q0zhmsqwk7wewfwwtrx830v2n	1	1	None	True	False	unsolved_valid	0	None
abs-module-cache-flags	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh75679ajj3b8dtd7se3h7z0a1833y6r	1	1	None	True	False	unsolved_valid	0	None
actionlint-action-pinning-lint	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79dnvkvq8j9bs22ededmsc79823akj	1	1	None	True	False	unsolved_valid	0	None
anko-typed-variable-bindings	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh79betfed7ets4an20cr4j57182y9wt	1	1	None	True	False	unsolved_valid	0	None
abs-stepped-slices	go	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7d5m4ed35zfp7gyhx7wdahed82yw72	1	1	0	False	True	unsolved_valid	0	0
adaptix-name-mapping-aliases	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh73dq4n55jdxasppe6jjmth4183d47n	1	1	None	True	False	unsolved_valid	0	None
bandit-structured-nosec-directives	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh757d8ggvnfaszv8zcav3msy982ma7f	1	1	None	True	False	unsolved_valid	0	None
cattrs-partial-structuring-recovery	python	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh7f7cahc5ddm1qzpxz13kpmrh8235pc	1	1	0	False	True	unsolved_valid	0	0
awilix-async-container-initialization	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh70bg8gy4xks4eyh1s71ecmk9822p9c	1	1	None	False	False	unsolved_valid	0	None
claude-code-by-agents-recursive-delegation	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh734ehfw2s3bztf7pzc9xf3x18212bs	1	1	None	True	False	unsolved_valid	0	None
cliffy-config-file-parsing	typescript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72088pg9vkc6peacnkc35yy9832jff	1	1	0	False	True	unsolved_valid	0	0
csstree-shorthand-expansion-compression	javascript	public.ecr.aws/d3j8x8q7/swe-bench-202605:kh72qraccnjwdet6ynagsccr4x82y65c	1	1	None	False	False	unsolved_valid	0	None
