benchmark,category,task_shape,harness_or_verifier,closed_model_anchor,qwen_or_local_anchor,local_trace_status,primary_source
SWE-bench Verified,repo_patch,"Real GitHub issue to patch in existing repository","Dockerized SWE-bench eval; metric is percent resolved","Vals 2026-06-17 snapshot: Claude Fable 5 95.0%; Claude Opus 4.8 88.6%; GPT 5.5 82.6%","Public Qwen3-Coder-Next 80A3: 70.6-71.3 depending scaffold; former local Qwen score retracted","Historical trace retained; no active local score","https://www.swebench.com/ ; https://www.vals.ai/benchmarks/swebench"
SWE-bench Multilingual,repo_patch_multilingual,"Repo-level bug fixing across 9 programming languages","SWE-bench family issue-to-patch eval; 300 tasks","Refresh exact frontier leaderboard before final citation","Public Qwen3-Coder-Next 80A3: 56.2-64.3 depending scaffold","No local Qwen3-30B full score inspected","https://www.swebench.com/ ; https://arxiv.org/html/2603.00729v1"
Monthly-SWEBench,living_repo_patch,"Monthly fresh PR-derived bug and feature/change tasks","Dual-phase verification plus instruction-test alignment review","Month-specific; do not cite one global score without release id","No local Qwen3-30B full score inspected","No local trace inspected","https://unipat.ai/benchmarks/MonthlySWEBench"
Terminal-Bench 2.1,terminal_agent,"Terminal tasks for build/train/config/debug/security/data processing","Harbor/Docker terminal; pass@1; task credit requires all tests/pytests pass","Snorkel snapshot: Codex CLI + GPT-5.5 83.4%; Claude Code + Claude 5 Fable 83.1%; Terminus 2 + Fable 80.4%","Public Qwen3-Coder-Next 80A3 is Terminal-Bench 2.0 only: 25.8-36.2 depending scaffold; no local 30B score","Local config includes terminal_bench_2_0 but no full score inspected","https://www.tbench.ai/ ; https://snorkel.ai/leaderboard/terminal-bench-2-1/ ; https://www.vals.ai/benchmarks/terminal-bench-2-1"
Terminal-X,terminal_depth_iteration,"Deep terminal tasks, code evolution tasks, roadmap/version upgrade tasks","Harbor Terminus-2 fixed harness; Docker terminal, file editing, code execution","Need extract exact target split/model table before final citation","No local Qwen3-30B full score inspected","No local trace inspected","https://unipat.ai/blog/TerminalX"
MCP-Atlas,mcp_tool_use,"Discover and call MCP tools from noisy menu; synthesize multi-step tool outputs","Real MCP servers in Docker; claim-level scoring; pass if coverage >= 0.75","Scale snapshot: top pass rate 83.6%; GPT-5.5 75.3%; GPT-5.4 70.6%; GPT-5.4-mini 56.7%","No local Qwen3-30B full score inspected","No local trace inspected","https://labs.scale.com/leaderboard/mcp_atlas"
Tool Decathlon / Toolathlon,multi_app_tool_use,"Long-horizon execution across many real software applications","32 apps, 604 tools, 108 tasks, dedicated evaluation scripts","OpenReview abstract: Claude-4.5-Sonnet 38.6%; DeepSeek-V3.2-Exp 20.1%","No local Qwen3-30B full score inspected","No local trace inspected","https://openreview.net/forum?id=z53s5p0qhf"
tau3-bench / tau3-Banking,customer_service_tool_use,"Customer-support policy retrieval plus backend state-changing tool calls","Simulated user-agent interaction; reward by backend DB state","Artificial Analysis snapshot: GPT-5.5 xhigh 31.3%; Sonnet 4.6 adaptive max 30.5%; GPT-5.4 xhigh 30.3%","Local launcher has tau2/tau support; no Qwen3-30B tau3 full score inspected","No local full trace inspected","https://github.com/sierra-research/tau2-bench ; https://artificialanalysis.ai/evaluations/tau3-banking"
ProgramBench,cleanroom_program_rebuild,"Rebuild program from compiled binary plus docs","Hidden behavioral tests generated from probing original executable","Paper conclusion: no model fully resolves any task","No local Qwen3-30B full score inspected","No local trace inspected","https://arxiv.org/html/2605.03546v1"
RepoZero,from_scratch_repo_generation,"Reimplement an entire repository from API specifications","Black-box output equivalence, cross-language constraints, sandboxed eval","Paper: strongest LLM agents limited to about 30%-55%; advanced scaffolds around 40%","Local RepoZero Py2JS wrapper exists; no Qwen3-30B full score inspected","No local full trace inspected","https://arxiv.org/html/2605.07122v1"
NL2Repo,from_scratch_repo_generation,"Generate complete installable Python repo from NL requirements and empty workspace","Upstream pytest suites; 104 tasks across 9 Python library categories","Paper: Claude Sonnet 4.5 about 39.6 pass / 40.2 avg score","No local Qwen3-30B full score inspected","No local trace inspected","https://arxiv.org/html/2512.12730v2"
DeepSWE,long_horizon_swe,"Original long-horizon engineering tasks across real repos","mini-swe-agent consistency harness; behavior verifiers","2026-06-24 leaderboard: Claude Fable 5 70%; GPT-5.5 67%; Claude Opus 4.8 59%; GPT-5.4 52%","No local Qwen3-30B full score inspected; local GPT-5.4-mini run incomplete and invalid as full score","Local GPT-5.4-mini + mini-swe-agent trace inspected: 11 completed, all reward 0, mostly timeouts","https://deepswe.datacurve.ai/"
